station_coordinates,station_type_voie,station_dep,line_separation
"[48.87059936512808, 2.4851976846362036]",VSU1,93,PR
"[48.91816323111617, 2.3534213446471486]",VSU1,93,FR
"[48.905848862016526, 2.46990931630946]",VSU1,93,PR
"[48.883127918336335, 2.481345276752652]",VDS,93,PR
"[48.92538323385081, 2.3673767242487047]",VSU1,93,FR
"[48.894848145867094, 2.4788751965480857]",VSU1,93,FR
"[48.920316761367346, 2.4100374545071324]",VSU1,93,PR
"[48.880119266477784, 2.4116101787919466]",VSU1,93,PR
"[48.93288255682363, 2.4144101528477115]",VDS,93,FR
"[48.91647110597006, 2.496919731405941]",VSU1,93,FR
"[48.92402658487458, 2.36886468338824]",VSU1,93,FR
"[48.88298643783603, 2.481474955288449]",VDS,93,PR
"[48.88273345275217, 2.481665455620828]",VDS,93,PR
"[48.929788468436, 2.361116030664415]",VDS,93,PR
"[48.93322570638954, 2.4164219540537224]",VSU1,93,FR
"[48.94867973407105, 2.3635503038301833]",VSU1,93,PR
